"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"366","Charlie Coyle","BOS","C,RW,F","319","319","319.0","0.0","224","-142"
"367","Liam Foudy","CBJ","C","329","329","329.0","0.0","",""
"368","Martin Kaut","FA","RW","330","330","330.0","0.0","",""
"369","Evan Bouchard","EDM","D","331","331","331.0","0.0","",""
"370","Connor McMichael","WSH","C","332","332","332.0","0.0","",""
"371","Ty Smith","FA","D","333","333","333.0","0.0","",""
"372","Alexander Volkov","TB","LW","334","334","334.0","0.0","",""
"373","Bowen Byram","COL","D","337","337","337.0","0.0","",""
"374","Jake Bean","CAR","D","339","339","339.0","0.0","",""
"375","Alexander Romanov","MTL","D","340","340","340.0","0.0","",""
"376","Morgan Frost","PHI","C","341","341","341.0","0.0","",""
"377","James Neal","EDM","RW,F","343","343","343.0","0.0","",""
"378","Dylan Cozens","FA","C","344","344","344.0","0.0","",""
"379","Erik Brannstrom","FA","D","348","348","348.0","0.0","",""
"380","Oliver Wahlstrom","FA","C","349","349","349.0","0.0","",""
"381","Adam Gaudette","VAN","LW","350","350","350.0","0.0","",""
"382","Tyler Benson","EDM","LW","351","351","351.0","0.0","",""
