,fantasy_pro,nhl.com,yahoo,dobber_hockey,average_ranking,highest_ranking,lowest_ranking
Tyler Myers,338.0,,,,338.0,338.0,
Colin Miller,338.0,,,,338.0,338.0,
Marco Rossi,325.0,247.0,445.0,,339.0,247.0,
Justin Faulk,312.0,367.0,,,339.5,312.0,
Adrian Kempe,342.0,,,,342.0,342.0,
Alex Goligoski,350.0,336.0,,,343.0,336.0,
Antti Raanta,310.0,377.0,,,343.5,310.0,
Carter Verhaeghe,230.0,457.0,,,343.5,230.0,
Cory Schneider,227.0,461.0,,,344.0,227.0,
Brenden Dillon,345.0,,,,345.0,345.0,
Owen Tippett,352.0,339.0,,,345.5,339.0,
Noel Acciari,346.0,,,,346.0,346.0,
Christian Dvorak,353.0,340.0,,,346.5,340.0,
Cal Clutterbuck,348.0,,,,348.0,348.0,
Ryan Donato,336.0,362.0,,,349.0,336.0,
Colin White,333.0,369.0,,,351.0,333.0,
Vladislav Namestnikov,409.0,293.0,,,351.0,293.0,
T.J. Brodie,360.0,347.0,,,353.5,347.0,
Chris McCarthy,354.0,,,,354.0,354.0,
Adam Lowry,354.0,,,,354.0,354.0,
Joel Eriksson Ek,356.0,,,,356.0,356.0,
Sam Steel,362.0,351.0,,,356.5,351.0,
Buddy Robinson,357.0,,,,357.0,357.0,
Connor Brown,406.0,308.0,,,357.0,308.0,
Brayden McNabb,358.0,,,,358.0,358.0,
Jack Roslovic,342.0,374.0,,,358.0,342.0,
Jeff Carter,346.0,370.0,,,358.0,346.0,
Mike Green,330.0,389.0,,,359.5,330.0,
Wayne Simmonds,355.0,366.0,,,360.5,355.0,
Brandon Montour,332.0,390.0,,,361.0,332.0,
Josh Norris,365.0,357.0,,,361.0,357.0,
Brett Connolly,361.0,,,,361.0,361.0,
Jesperi Kotkaniemi,351.0,373.0,,,362.0,351.0,
John Marino,363.0,,,,363.0,363.0,
Thomas Greiss,313.0,415.0,,,364.0,313.0,
Calle Jarnkrok,365.0,,,,365.0,365.0,
Jordan Weal,347.0,385.0,,,366.0,347.0,
Brendan Lemieux,368.0,,,,368.0,368.0,
Alexander True,349.0,388.0,,,368.5,349.0,
Vitali Kravtsov,348.0,391.0,,,369.5,348.0,
Austin Wagner,372.0,,,,372.0,372.0,
Cam Fowler,344.0,403.0,,,373.5,344.0,
Patrick Maroon,375.0,,,,375.0,375.0,
Luke Kunin,399.0,355.0,,,377.0,355.0,
Connor Murphy,378.0,,,,378.0,378.0,
David Savard,380.0,,,,380.0,380.0,
Liam Foudy,367.0,394.0,,,380.5,367.0,
Oscar Klefbom,299.0,463.0,,,381.0,299.0,
Brady Skjei,381.0,,,,381.0,381.0,
Martin Kaut,368.0,396.0,,,382.0,368.0,
Marcus Pettersson,383.0,,,,383.0,383.0,
Evan Bouchard,369.0,397.0,,,383.0,369.0,
Zach Sanford,385.0,384.0,,,384.5,384.0,
Connor McMichael,370.0,399.0,,,384.5,370.0,
Ty Smith,371.0,401.0,,,386.0,371.0,
Nick Cousins,386.0,,,,386.0,386.0,
Kirby Dach,359.0,414.0,,,386.5,359.0,
Alexander Volkov,372.0,402.0,,,387.0,372.0,
Bowen Byram,373.0,406.0,,,389.5,373.0,
Jake Bean,374.0,409.0,,,391.5,374.0,
Tyler Ennis,388.0,395.0,,,391.5,388.0,
Tyler Pitlick,392.0,,,,392.0,392.0,
Maxime Comtois,339.0,447.0,,,393.0,339.0,
Brian Dumoulin,393.0,,,,393.0,393.0,
Alexander Romanov,375.0,411.0,,,393.0,375.0,
